"pel"	"year"	"mon"	"var"	"value"	"time"
"93"	0	1981	6	"ntot"	2275	1981.4595890411
"94"	0	1981	6	"ptot"	192.5	1981.4595890411
"95"	0	1981	7	"ntot"	2310	1981.53698630137
"96"	0	1981	7	"ptot"	179.75	1981.53698630137
"97"	0	1981	8	"ntot"	2062.5	1981.62808219178
"98"	0	1981	8	"ptot"	196.25	1981.62808219178
"99"	0	1981	9	"ntot"	2016	1981.69863013699
"100"	0	1981	9	"ptot"	117	1981.69863013699
"101"	0	1982	6	"ntot"	2553	1982.4695890411
"102"	0	1982	6	"ptot"	97.9	1982.4695890411
"103"	0	1982	7	"ntot"	1715	1982.53333333333
"104"	0	1982	7	"ptot"	122.333333333333	1982.53333333333
"105"	0	1982	8	"ntot"	2402.94117647059	1982.61982272361
"106"	0	1982	8	"ptot"	198.176470588235	1982.61982272361
"107"	0	1982	9	"ntot"	1473.07692307692	1982.68682824025
"108"	0	1982	9	"ptot"	129.076923076923	1982.68682824025
"109"	0	1983	6	"ntot"	2023.80952380952	1983.44057403783
"110"	0	1983	6	"ptot"	175.52380952381	1983.44057403783
"111"	0	1983	7	"ntot"	2618.33333333333	1983.53287671233
"112"	0	1983	7	"ptot"	200	1983.53287671233
"113"	0	1983	8	"ntot"	2060.90909090909	1983.6102117061
"114"	0	1983	8	"ptot"	176.454545454545	1983.6102117061
"115"	0	1983	9	"ntot"	1764.28571428571	1983.69706457926
"116"	0	1983	9	"ptot"	143.857142857143	1983.69706457926
"117"	0	1984	6	"ntot"	1028.75	1984.43408469945
"118"	0	1984	6	"ptot"	105.375	1984.43408469945
"119"	0	1984	7	"ntot"	1257.5	1984.53346994536
"120"	0	1984	7	"ptot"	125.333333333333	1984.53346994536
"121"	0	1984	8	"ntot"	1270.76923076923	1984.61769651114
"122"	0	1984	8	"ptot"	124.769230769231	1984.61769651114
"123"	0	1984	9	"ntot"	3000	1984.67213114754
"124"	0	1984	9	"ptot"	134	1984.67213114754
"125"	0	1985	6	"ntot"	1595	1985.44092465753
"126"	0	1985	6	"ptot"	87.125	1985.44092465753
"127"	0	1985	7	"ntot"	1606.30434782609	1985.54258487195
"128"	0	1985	7	"ptot"	159.391304347826	1985.54258487195
"129"	0	1985	8	"ntot"	1708.94736842105	1985.61600576784
"130"	0	1985	8	"ptot"	126.842105263158	1985.61600576784
"131"	0	1985	9	"ntot"	1381.66666666667	1985.70776255708
"132"	0	1985	9	"ptot"	93.6666666666667	1985.70776255708
"133"	0	1986	6	"ntot"	1911.81818181818	1986.4597758406
"134"	0	1986	6	"ptot"	103.909090909091	1986.4597758406
"135"	0	1986	7	"ntot"	1150.71428571429	1986.53199608611
"136"	0	1986	7	"ptot"	85.1428571428571	1986.53199608611
"137"	0	1986	8	"ntot"	1593.57142857143	1986.62074363992
"138"	0	1986	8	"ptot"	107.428571428571	1986.62074363992
"139"	0	1986	9	"ntot"	1293.33333333333	1986.70715372907
"140"	0	1986	9	"ptot"	96.2222222222222	1986.70715372907
"141"	0	1987	6	"ntot"	1043.88888888889	1987.44185692542
"142"	0	1987	6	"ptot"	79.2222222222222	1987.44185692542
"143"	0	1987	7	"ntot"	759.5	1987.53082191781
"144"	0	1987	7	"ptot"	70.65	1987.53082191781
